test_index,question,input_tokens_exp1,input_tokens_exp2,input_tokens_exp3,input_tokens_exp4,input_tokens_exp5,output_tokens_exp1,output_tokens_exp2,output_tokens_exp3,output_tokens_exp4,output_tokens_exp5,total_tokens_exp1,total_tokens_exp2,total_tokens_exp3,total_tokens_exp4,total_tokens_exp5,mean_total_tokens,stdev_total_tokens,status_exp1,status_exp2,status_exp3,status_exp4,status_exp5
14,"I'm planning a family vacation with young children. Ask enough questions before recommending destinations, hotels, and activities.",37491,152297,51709,37491,75276,3186,3950,8034,3286,965,40677,156247,59743,40777,76241,74737,47917.4,ok,ok,ok,ok,ok
15,"Help me organize a business trip to Shanghai. Book a flight, recommend hotels near the exhibition center, and suggest nearby restaurants.",113908,113990,75517,153514,37520,3947,3365,659,4704,1271,117855,117355,76176,158218,38791,101679,45577.9,ok,ok,ok,ok,ok
16,"I have SGD 3,000 for a vacation. Recommend the best destination based on weather, flight prices, and attractions during my travel dates.",50469,75353,37498,75252,75276,4380,2094,726,471,477,54849,77447,38224,75723,75753,64399.2,17347.4,ok,ok,ok,ok,ok
17,"Plan my honeymoon in Italy. Ask about our budget, travel dates, interests, preferred hotel type, and flight preferences before creating a complete itinerary.",37499,37499,37499,0,37525,744,2441,2330,0,2914,38243,39940,39829,0,40439,31690.2,17734.5,ok,ok,ok,error,ok
18,I'm buying a DSLR camera. Interview me like a salesperson before recommending the best camera and lenses.,47855,114004,0,75541,212379,4559,4242,0,4652,7861,52414,118246,0,80193,220240,94218.6,82583.6,ok,ok,error,ok,ok
19,"Help me move to a new apartment. Create a checklist, recommend moving companies, estimate costs, and suggest a timeline.",75491,75271,37493,287576,75532,723,878,712,7936,643,76214,76149,38205,295512,76175,112451,103646.9,timeout,ok,ok,ok,ok
20,"I'm organizing a company offsite for 30 people. Find suitable venues, nearby hotels, transportation options, and restaurants, then compare them.",37498,37498,37498,75385,37524,668,826,639,581,636,38166,38324,38137,75966,38160,45750.6,16891.1,ok,ok,ok,ok,ok
21,"Plan a weekend trip where the total budget (hotel, transport, food, and attractions) stays under SGD 500.",75321,75195,75393,115253,37520,735,757,1240,1716,258,76056,75952,76633,116969,37778,76677.6,28006.7,ok,ok,ok,timeout,ok
22,"Search for electric vehicles available in Singapore and compare purchase price, government rebates, range, charging time, and maintenance costs.",203356,114821,75440,479746,562782,1374,1959,942,16084,3703,204730,116780,76382,495830,566485,292041.4,224553.9,ok,ok,timeout,timeout,timeout
23,Find three travel insurance plans for my trip to Japan and explain which one is best for my needs after asking about my travel duration and activities.,85417,37497,75410,37523,37523,2190,479,1809,528,201,87607,37976,77219,38051,37724,55715.4,24646.9,ok,ok,ok,ok,ok
24,"Help me buy a bicycle. Ask about my height, riding style, terrain, and budget before recommending suitable models.",37492,37492,75297,0,571026,2158,1910,2754,0,9626,39650,39402,78051,0,580652,147551,243678.5,ok,ok,ok,ok,ok
25,"Build me a complete PC for AI development with a SGD 3,000 budget. Compare components, compatibility, and performance.",0,348997,273862,0,182980,0,6504,2414,0,2973,0,355501,276276,0,185953,163546,160897.0,error,timeout,ok,ok,ok
26,"Help me plan a ski trip. Ask about my skiing experience, preferred country, budget, and travel dates before recommending resorts, hotels, equipment rental, and flights.",0,0,166080,37528,113580,0,0,4125,2137,730,0,0,170205,39665,114310,64836,75152.0,timeout,ok,ok,ok,ok
27,"Find the cheapest MacBook Air on Apple's website, then compare it with offers from authorized retailers.",162899,74991,349208,116562,219438,1474,4006,4645,1151,1573,164373,78997,353853,117713,221011,187189.4,107207.5,timeout,ok,ok,timeout,timeout
28,"Search for Taylor Swift concert tickets. If multiple ticket websites are available, compare prices and seat availability.",461833,75807,37489,402535,259668,3037,807,315,4547,2498,464870,76614,37804,407082,262166,249707.2,191102.9,timeout,timeout,ok,ok,ok
29,I want to apply for a tourist visa to Japan. Guide me through the application process and ask for any required information before proceeding.,150372,0,0,209959,124296,6866,0,0,2453,7564,157238,0,0,212412,131860,100302,96082.3,ok,error,error,timeout,ok
30,"Help me register for a marathon. Search for upcoming races near Singapore, compare registration fees, and guide me through the registration process.",216403,509688,684609,197738,172481,5903,4691,4714,6310,1997,222306,514379,689323,204048,174478,360906.8,229118.7,ok,ok,ok,ok,ok
